product_id	product_name	category	price
P000001	Animi Electronics	Electronics	109885
P000002	Esse Groceries	Groceries	163238
P000003	Aperiam Stationery	Stationery	131041
P000004	Explicabo Stationery	Stationery	195363
P000005	Nisi Electronics	Electronics	96297
P000006	Sunt Stationery	Stationery	188742
P000007	Esse Groceries	Groceries	172859
P000008	Debitis Stationery	Stationery	124012
P000009	Sunt Groceries	Groceries	134522
P000010	Assumenda Groceries	Groceries	159131
P000011	Rerum Electronics	Electronics	15549
P000012	Sequi Groceries	Groceries	77028
P000013	Officiis Electronics	Electronics	83080
P000014	Sed Electronics	Electronics	36313
P000015	Iure Electronics	Electronics	64792
P000016	Exercitationem Stationery	Stationery	23470
P000017	Officiis Toys	Toys	139048
P000018	Mollitia Groceries	Groceries	129468
P000019	Temporibus Stationery	Stationery	68371
P000020	Aperiam Electronics	Electronics	113799
P000021	Suscipit Groceries	Groceries	160482
P000022	Ipsam Stationery	Stationery	25410
P000023	Consequatur Toys	Toys	49122
P000024	Similique Toys	Toys	105714
P000025	Excepturi Stationery	Stationery	123323
P000026	Magnam Electronics	Electronics	102165
P000027	Nostrum Stationery	Stationery	116217
P000028	Dolores Electronics	Electronics	28134
P000029	Repellat Groceries	Groceries	34507
P000030	Quo Home	Home	91388
P000031	Temporibus Stationery	Stationery	154549
P000032	Magni Stationery	Stationery	89834
P000033	Eveniet Home	Home	73024
P000034	Amet Home	Home	106567
P000035	Explicabo Stationery	Stationery	14433
P000036	Iusto Electronics	Electronics	179604
P000037	Recusandae Toys	Toys	6052
P000038	Quidem Groceries	Groceries	17706
P000039	Architecto Stationery	Stationery	87187
P000040	Aut Stationery	Stationery	159946
P000041	Iste Toys	Toys	93889
P000042	Atque Groceries	Groceries	94126
P000043	Consequuntur Stationery	Stationery	199524
P000044	Magni Stationery	Stationery	86851
P000045	Voluptate Groceries	Groceries	6272
P000046	Dolore Electronics	Electronics	110352
P000047	Facere Toys	Toys	41022
P000048	Unde Toys	Toys	118862
P000049	Cumque Groceries	Groceries	181839
P000050	Eum Home	Home	69321
P000051	Laboriosam Home	Home	20616
P000052	Optio Home	Home	99197
P000053	Aspernatur Groceries	Groceries	188270
P000054	Blanditiis Electronics	Electronics	183608
P000055	Veniam Toys	Toys	27642
P000056	Exercitationem Stationery	Stationery	22934
P000057	Qui Home	Home	143109
P000058	Ratione Toys	Toys	198887
P000059	Quia Groceries	Groceries	24629
P000060	Sunt Stationery	Stationery	195613
P000061	Ducimus Home	Home	183706
P000062	Iste Groceries	Groceries	60913
P000063	Asperiores Toys	Toys	17198
P000064	Quas Toys	Toys	19752
P000065	Error Electronics	Electronics	7005
P000066	Sapiente Stationery	Stationery	102007
P000067	Similique Toys	Toys	72783
P000068	Totam Stationery	Stationery	35993
P000069	Dolorem Stationery	Stationery	44909
P000070	Veniam Home	Home	70855
P000071	Accusamus Home	Home	80911
P000072	Deserunt Groceries	Groceries	187441
P000073	Sed Home	Home	115210
P000074	Quia Electronics	Electronics	169951
P000075	Aliquid Electronics	Electronics	6268
P000076	Rerum Home	Home	112303
P000077	Error Stationery	Stationery	45993
P000078	Molestiae Electronics	Electronics	91309
P000079	Molestias Home	Home	192127
P000080	Odit Electronics	Electronics	140016
P000081	Quae Electronics	Electronics	99691
P000082	Magni Groceries	Groceries	71244
P000083	Explicabo Groceries	Groceries	8669
P000084	Error Stationery	Stationery	78705
P000085	Iste Toys	Toys	76276
P000086	Esse Electronics	Electronics	16147
P000087	Distinctio Stationery	Stationery	11512
P000088	Perspiciatis Electronics	Electronics	49271
P000089	Officia Home	Home	77336
P000090	Nisi Home	Home	52232
P000091	Maiores Toys	Toys	111355
P000092	Maxime Stationery	Stationery	128438
P000093	Ratione Electronics	Electronics	177107
P000094	Dolorem Toys	Toys	132893
P000095	Quisquam Toys	Toys	123772
P000096	Earum Electronics	Electronics	181102
P000097	Culpa Home	Home	161337
P000098	Hic Stationery	Stationery	197582
P000099	Culpa Electronics	Electronics	159423
P000100	Ad Home	Home	22632
P000101	Eligendi Stationery	Stationery	102230
P000102	Ullam Home	Home	153551
P000103	Saepe Electronics	Electronics	107780
P000104	Itaque Electronics	Electronics	99676
P000105	Iure Toys	Toys	20008
P000106	Nam Stationery	Stationery	130795
P000107	Eligendi Stationery	Stationery	50699
P000108	Eveniet Electronics	Electronics	162312
P000109	Praesentium Groceries	Groceries	17266
P000110	Ab Toys	Toys	193589
P000111	Officia Home	Home	163287
P000112	Labore Electronics	Electronics	90102
P000113	Omnis Electronics	Electronics	76106
P000114	Veniam Electronics	Electronics	148886
P000115	Occaecati Home	Home	158808
P000116	Minima Electronics	Electronics	148957
P000117	Dignissimos Home	Home	180249
P000118	Ea Groceries	Groceries	139253
P000119	Quam Toys	Toys	162082
P000120	Quod Home	Home	44477
P000121	Odit Toys	Toys	153799
P000122	Blanditiis Toys	Toys	74385
P000123	Error Toys	Toys	47687
P000124	Cumque Electronics	Electronics	84320
P000125	Similique Stationery	Stationery	47253
P000126	Nihil Electronics	Electronics	79317
P000127	Molestiae Electronics	Electronics	80163
P000128	Quibusdam Stationery	Stationery	51135
P000129	Aperiam Home	Home	32980
P000130	Doloribus Electronics	Electronics	23612
P000131	Reprehenderit Toys	Toys	45099
P000132	Ad Toys	Toys	20433
P000133	Accusamus Toys	Toys	121596
P000134	Deleniti Toys	Toys	150697
P000135	Quas Toys	Toys	149917
P000136	Numquam Stationery	Stationery	57633
P000137	Eos Electronics	Electronics	16720
P000138	Nihil Toys	Toys	141395
P000139	Aliquid Toys	Toys	157878
P000140	Architecto Toys	Toys	154410
P000141	Rerum Electronics	Electronics	91331
P000142	Necessitatibus Stationery	Stationery	145255
P000143	Quidem Stationery	Stationery	114687
P000144	Ex Groceries	Groceries	13989
P000145	Accusantium Groceries	Groceries	87377
P000146	Amet Groceries	Groceries	11363
P000147	Qui Groceries	Groceries	82894
P000148	Minima Groceries	Groceries	39636
P000149	Porro Home	Home	105807
P000150	Neque Stationery	Stationery	59744
P000151	Totam Groceries	Groceries	140280
P000152	Facilis Groceries	Groceries	19449
P000153	Aut Stationery	Stationery	76487
P000154	Nobis Home	Home	193838
P000155	Nihil Home	Home	163381
P000156	Atque Stationery	Stationery	176172
P000157	Excepturi Home	Home	28072
P000158	Repellendus Toys	Toys	17656
P000159	Reiciendis Electronics	Electronics	197505
P000160	Reiciendis Electronics	Electronics	102982
P000161	Aut Home	Home	149124
P000162	Culpa Stationery	Stationery	60573
P000163	Fugit Toys	Toys	84448
P000164	Assumenda Stationery	Stationery	65920
P000165	A Electronics	Electronics	6528
P000166	Facere Groceries	Groceries	92697
P000167	Nam Electronics	Electronics	38681
P000168	Sapiente Home	Home	83618
P000169	Quae Home	Home	171512
P000170	Dolores Stationery	Stationery	30889
P000171	Earum Toys	Toys	68189
P000172	Est Groceries	Groceries	77188
P000173	Eius Groceries	Groceries	74359
P000174	Beatae Home	Home	108034
P000175	Corrupti Electronics	Electronics	176691
P000176	Accusamus Stationery	Stationery	48957
P000177	Facilis Electronics	Electronics	125179
P000178	Praesentium Toys	Toys	177205
P000179	Ipsum Home	Home	134124
P000180	Autem Groceries	Groceries	143733
P000181	Quibusdam Home	Home	9409
P000182	Labore Home	Home	8463
P000183	Cum Groceries	Groceries	153483
P000184	Doloremque Electronics	Electronics	187680
P000185	Ut Groceries	Groceries	6444
P000186	Aliquid Home	Home	147851
P000187	Possimus Groceries	Groceries	175515
P000188	Quidem Electronics	Electronics	47981
P000189	Harum Stationery	Stationery	182717
P000190	Aperiam Electronics	Electronics	189732
P000191	Illo Stationery	Stationery	129268
P000192	Dolore Stationery	Stationery	134021
P000193	Totam Home	Home	59280
P000194	Voluptatibus Electronics	Electronics	69030
P000195	Magnam Stationery	Stationery	192883
P000196	Nobis Toys	Toys	61131
P000197	Dicta Groceries	Groceries	50560
P000198	Voluptates Groceries	Groceries	42794
P000199	Sunt Home	Home	103981
P000200	Ipsam Home	Home	43103
P000201	Placeat Toys	Toys	146614
P000202	Eaque Electronics	Electronics	193245
P000203	Ea Stationery	Stationery	67616
