store_id	store_name	city	region
S000001	Retail Natus	Lhokseumawe	South
S000002	Retail Fugit	Banjarmasin	North
S000003	Retail Placeat	Prabumulih	West
S000004	Retail Architecto	Madiun	West
S000005	Retail Beatae	Cimahi	North
S000006	Retail Sit	Manado	Central
S000007	Retail Atque	Tanjungpinang	South
S000008	Retail Numquam	Pangkalpinang	South
S000009	Retail Unde	Padangpanjang	South
S000010	Retail Quia	Palembang	South
S000011	Retail Voluptate	Bukittinggi	Central
S000012	Retail Deserunt	Pasuruan	West
S000013	Retail Ad	Kota Administrasi Jakarta Barat	Central
S000014	Retail Tenetur	Pagaralam	North
S000015	Retail Et	Madiun	East
S000016	Retail Possimus	Kendari	West
S000017	Retail Eum	Sungai Penuh	South
S000018	Retail Amet	Payakumbuh	West
S000019	Retail Vitae	Kupang	North
S000020	Retail Voluptatem	Probolinggo	West
S000021	Retail Laborum	Singkawang	South
S000022	Retail Dolorum	Madiun	South
S000023	Retail Laborum	Samarinda	West
S000024	Retail Necessitatibus	Sungai Penuh	North
S000025	Retail Recusandae	Batu	North
S000026	Retail Nobis	Palopo	East
S000027	Retail Libero	Yogyakarta	East
S000028	Retail Sunt	Pematangsiantar	North
S000029	Retail Tempore	Madiun	South
S000030	Retail Itaque	Tual	South
S000031	Retail Quas	Ambon	Central
S000032	Retail Perspiciatis	Meulaboh	Central
S000033	Retail Ipsam	Bau-Bau	Central
S000034	Retail Temporibus	Tual	North
S000035	Retail Ullam	Bitung	Central
S000036	Retail Aut	Cimahi	North
S000037	Retail Nesciunt	Kediri	West
S000038	Retail Sunt	Pagaralam	West
S000039	Retail Quidem	Ambon	East
S000040	Retail Sed	Pekanbaru	East
S000041	Retail Suscipit	Serang	South
S000042	Retail Necessitatibus	Tebingtinggi	Central
S000043	Retail Autem	Palopo	East
S000044	Retail Sint	Bukittinggi	North
S000045	Retail Necessitatibus	Bukittinggi	North
S000046	Retail Repudiandae	Metro	Central
S000047	Retail Impedit	Parepare	West
S000048	Retail Id	Tegal	East
S000049	Retail Fugiat	Jambi	North
S000050	Retail Ea	Sukabumi	East
S000051	Retail Earum	Tidore Kepulauan	Central
S000052	Retail Magni	Jayapura	West
S000053	Retail Dolorem	Padang Sidempuan	South
S000054	Retail Dolorem	Jayapura	South
S000055	Retail Illum	Bekasi	West
S000056	Retail Nesciunt	Tanjungpinang	Central
S000057	Retail Blanditiis	Palopo	East
S000058	Retail Quam	Metro	Central
S000059	Retail Veritatis	Tebingtinggi	South
S000060	Retail Officiis	Parepare	West
S000061	Retail Fugit	Bogor	West
S000062	Retail Blanditiis	Bima	North
S000063	Retail Nesciunt	Banjarbaru	East
S000064	Retail Distinctio	Padang	West
S000065	Retail Esse	Probolinggo	West
S000066	Retail Nam	Blitar	Central
S000067	Retail Tempora	Tomohon	East
S000068	Retail Eius	Tual	West
S000069	Retail Facere	Makassar	Central
S000070	Retail Facilis	Palopo	South
S000071	Retail Consequatur	Denpasar	Central
S000072	Retail Similique	Manado	East
S000073	Retail Repellat	Kotamobagu	West
S000074	Retail Sint	Bitung	West
S000075	Retail Voluptate	Pekanbaru	East
S000076	Retail Quaerat	Metro	East
S000077	Retail In	Palangkaraya	North
S000078	Retail Voluptate	Medan	Central
S000079	Retail Laboriosam	Pasuruan	South
S000080	Retail Illum	Tomohon	South
S000081	Retail Aliquam	Medan	North
S000082	Retail Laborum	Samarinda	North
S000083	Retail Alias	Tomohon	East
S000084	Retail Similique	Padangpanjang	South
S000085	Retail Aliquid	Sawahlunto	West
S000086	Retail Libero	Semarang	West
S000087	Retail A	Dumai	Central
S000088	Retail Quibusdam	Probolinggo	West
S000089	Retail Temporibus	Pontianak	Central
S000090	Retail Autem	Sorong	Central
S000091	Retail Recusandae	Purwokerto	West
S000092	Retail Labore	Singkawang	South
S000093	Retail Distinctio	Tomohon	East
S000094	Retail Quam	Salatiga	West
S000095	Retail Recusandae	Ambon	West
S000096	Retail Repudiandae	Solok	Central
S000097	Retail Officia	Sungai Penuh	West
S000098	Retail Esse	Palangkaraya	West
S000099	Retail Soluta	Tarakan	North
S000100	Retail Qui	Kota Administrasi Jakarta Barat	West
S000101	Retail Eum	Pasuruan	Central
S000102	Retail Similique	Samarinda	Central
S000103	Retail Saepe	Sabang	East
S000104	Retail Quo	Batam	East
S000105	Retail Debitis	Bukittinggi	Central
S000106	Retail Repudiandae	Kota Administrasi Jakarta Timur	South
S000107	Retail Itaque	Kendari	South
S000108	Retail Expedita	Mataram	East
S000109	Retail Quod	Surabaya	East
S000110	Retail Labore	Banjarmasin	East
S000111	Retail Alias	Jambi	South
S000112	Retail Provident	Probolinggo	East
S000113	Retail Pariatur	Cirebon	East
S000114	Retail Earum	Padang Sidempuan	Central
S000115	Retail Quis	Prabumulih	East
S000116	Retail Quod	Bau-Bau	East
S000117	Retail Temporibus	Pekanbaru	South
S000118	Retail Eligendi	Langsa	Central
S000119	Retail Beatae	Sibolga	East
S000120	Retail Iure	Kota Administrasi Jakarta Utara	North
S000121	Retail Aliquam	Subulussalam	West
S000122	Retail Quaerat	Kediri	North
S000123	Retail Quia	Pontianak	Central
S000124	Retail Iure	Banjarmasin	North
S000125	Retail Vel	Kota Administrasi Jakarta Pusat	West
S000126	Retail Neque	Sawahlunto	Central
S000127	Retail Repudiandae	Purwokerto	West
S000128	Retail Reiciendis	Padangpanjang	East
S000129	Retail Eveniet	Tual	Central
S000130	Retail Natus	Kupang	East
S000131	Retail Maiores	Pekalongan	West
S000132	Retail Dicta	Jambi	West
S000133	Retail Tenetur	Sorong	North
S000134	Retail Officiis	Bontang	South
S000135	Retail Officiis	Denpasar	North
S000136	Retail Ipsam	Sabang	Central
S000137	Retail Nesciunt	Cilegon	South
S000138	Retail Dicta	Samarinda	Central
S000139	Retail Deserunt	Pangkalpinang	South
S000140	Retail Reprehenderit	Madiun	West
S000141	Retail Quod	Kota Administrasi Jakarta Pusat	South
S000142	Retail Aliquam	Kediri	Central
S000143	Retail Illo	Palembang	South
S000144	Retail Itaque	Mojokerto	North
S000145	Retail Molestiae	Lhokseumawe	North
S000146	Retail Consequuntur	Serang	Central
S000147	Retail Ipsa	Denpasar	East
S000148	Retail Consectetur	Madiun	Central
S000149	Retail Nulla	Prabumulih	East
S000150	Retail Nobis	Tarakan	Central
S000151	Retail Repudiandae	Magelang	South
S000152	Retail Iure	Bekasi	West
S000153	Retail Repellendus	Surabaya	East
S000154	Retail Illo	Semarang	South
S000155	Retail Eligendi	Ternate	Central
S000156	Retail Inventore	Pekalongan	South
S000157	Retail Nisi	Manado	Central
S000158	Retail Alias	Padang Sidempuan	Central
S000159	Retail Sint	Bima	South
S000160	Retail Magnam	Sawahlunto	West
S000161	Retail Dolore	Kupang	East
S000162	Retail Dolorum	Palembang	Central
S000163	Retail Repellat	Jambi	East
S000164	Retail Voluptas	Dumai	South
S000165	Retail Ipsam	Kupang	East
S000166	Retail Ab	Meulaboh	West
S000167	Retail Expedita	Bitung	North
S000168	Retail Minus	Ambon	South
S000169	Retail Molestias	Mojokerto	West
S000170	Retail Saepe	Medan	Central
S000171	Retail Magnam	Lubuklinggau	Central
S000172	Retail Quibusdam	Meulaboh	Central
S000173	Retail Itaque	Tangerang	South
S000174	Retail Totam	Cilegon	West
S000175	Retail Dolore	Banjar	North
S000176	Retail Ipsam	Kediri	Central
S000177	Retail Velit	Cirebon	West
S000178	Retail Eos	Bau-Bau	West
S000179	Retail Quasi	Kendari	North
S000180	Retail Corrupti	Meulaboh	West
S000181	Retail Facere	Samarinda	Central
S000182	Retail Aliquam	Kota Administrasi Jakarta Utara	East
S000183	Retail Nam	Surakarta	North
S000184	Retail Laborum	Samarinda	Central
S000185	Retail Itaque	Surabaya	West
S000186	Retail Dolores	Bekasi	North
S000187	Retail Voluptas	Kota Administrasi Jakarta Barat	South
S000188	Retail Sit	Palembang	South
S000189	Retail Ratione	Batu	South
S000190	Retail Consectetur	Meulaboh	East
S000191	Retail Vero	Solok	West
S000192	Retail Nobis	Cirebon	Central
S000193	Retail Inventore	Tangerang Selatan	Central
S000194	Retail Adipisci	Tasikmalaya	East
S000195	Retail Minus	Bontang	Central
S000196	Retail Quisquam	Bengkulu	East
S000197	Retail Cupiditate	Salatiga	South
S000198	Retail Quia	Tual	West
S000199	Retail Illo	Kota Administrasi Jakarta Selatan	South
S000200	Retail Error	Yogyakarta	South
S000201	Retail Ipsa	Tual	West
S000202	Retail Accusantium	Tidore Kepulauan	South
S000203	Retail Accusantium	Makassar	West
S000204	Retail Aut	Palangkaraya	West
S000205	Retail Aspernatur	Bitung	South
S000206	Retail At	Padang	East
S000207	Retail Dignissimos	Jambi	West
S000208	Retail Eaque	Tanjungbalai	West
S000209	Retail Non	Gorontalo	North
S000210	Retail Odit	Metro	Central
S000211	Retail Magnam	Bau-Bau	North
S000212	Retail Quia	Mataram	West
S000213	Retail Repellat	Bekasi	South
S000214	Retail Eaque	Kota Administrasi Jakarta Timur	Central
S000215	Retail Ipsum	Bandung	West
S000216	Retail Pariatur	Sawahlunto	West
S000217	Retail Pariatur	Pasuruan	Central
S000218	Retail Dolorem	Yogyakarta	North
S000219	Retail Placeat	Mojokerto	North
S000220	Retail Suscipit	Kediri	South
S000221	Retail Mollitia	Surakarta	Central
S000222	Retail Iusto	Lhokseumawe	East
S000223	Retail Aut	Prabumulih	South
S000224	Retail Fuga	Dumai	West
S000225	Retail Cupiditate	Salatiga	West
S000226	Retail Facere	Kota Administrasi Jakarta Pusat	South
S000227	Retail Tenetur	Tual	North
S000228	Retail Error	Pematangsiantar	South
S000229	Retail Ducimus	Sukabumi	West
S000230	Retail Aspernatur	Pekanbaru	West
S000231	Retail Consequuntur	Semarang	North
S000232	Retail Veritatis	Banjarbaru	West
S000233	Retail Rerum	Kotamobagu	West
S000234	Retail Iste	Prabumulih	East
S000235	Retail Eum	Palembang	Central
S000236	Retail Repudiandae	Parepare	West
S000237	Retail Facilis	Serang	South
S000238	Retail Facere	Palu	Central
S000239	Retail Ex	Bengkulu	West
S000240	Retail In	Banjarbaru	East
S000241	Retail Laborum	Pariaman	Central
S000242	Retail Autem	Cirebon	Central
S000243	Retail Aut	Kotamobagu	East
S000244	Retail Quae	Cilegon	Central
S000245	Retail Aspernatur	Kotamobagu	North
S000246	Retail Vero	Banda Aceh	Central
S000247	Retail Itaque	Surakarta	West
S000248	Retail Ut	Bitung	Central
S000249	Retail Ipsa	Kota Administrasi Jakarta Pusat	Central
S000250	Retail Tempore	Parepare	Central
S000251	Retail Eligendi	Pagaralam	South
S000252	Retail Facere	Denpasar	Central
S000253	Retail Velit	Sibolga	Central
S000254	Retail Facilis	Ambon	East
S000255	Retail Natus	Kotamobagu	South
S000256	Retail Id	Tasikmalaya	Central
S000257	Retail Incidunt	Solok	East
S000258	Retail Voluptates	Salatiga	Central
S000259	Retail Occaecati	Tebingtinggi	East
S000260	Retail Fugit	Pematangsiantar	South
S000261	Retail Sunt	Denpasar	South
S000262	Retail Illum	Solok	Central
S000263	Retail Asperiores	Banjar	Central
S000264	Retail Dolor	Magelang	East
S000265	Retail Vel	Banjarmasin	South
S000266	Retail Pariatur	Lhokseumawe	North
S000267	Retail Ipsum	Kendari	Central
S000268	Retail Eveniet	Tual	North
S000269	Retail Mollitia	Magelang	East
S000270	Retail Quasi	Bitung	West
S000271	Retail Consequuntur	Tebingtinggi	South
S000272	Retail Veritatis	Pekalongan	West
S000273	Retail Accusamus	Bandung	South
S000274	Retail Quae	Payakumbuh	West
S000275	Retail Magnam	Pariaman	South
S000276	Retail Nostrum	Magelang	Central
S000277	Retail Veniam	Kediri	East
S000278	Retail Quasi	Jambi	West
S000279	Retail Vero	Surakarta	Central
S000280	Retail Minus	Batam	East
S000281	Retail Minima	Kediri	South
S000282	Retail Suscipit	Kupang	West
S000283	Retail Unde	Purwokerto	East
S000284	Retail Aspernatur	Tomohon	North
S000285	Retail Quae	Lhokseumawe	North
S000286	Retail Dolorum	Padang	South
S000287	Retail Cupiditate	Bogor	East
S000288	Retail Sed	Tangerang Selatan	South
S000289	Retail Eos	Pariaman	East
S000290	Retail Praesentium	Jambi	East
S000291	Retail Dolorum	Sawahlunto	North
S000292	Retail Voluptate	Tasikmalaya	East
S000293	Retail Adipisci	Blitar	West
S000294	Retail Corrupti	Pontianak	East
S000295	Retail Facilis	Denpasar	East
S000296	Retail Odio	Singkawang	Central
S000297	Retail Amet	Cimahi	West
S000298	Retail Nulla	Sukabumi	West
S000299	Retail Iusto	Sungai Penuh	East
S000300	Retail Eaque	Prabumulih	East
S000301	Retail Quasi	Denpasar	North
S000302	Retail Sequi	Madiun	North
S000303	Retail Iusto	Surakarta	North
S000304	Retail Et	Tangerang	East
S000305	Retail Ipsum	Magelang	North
S000306	Retail Quisquam	Palopo	East
S000307	Retail Unde	Pontianak	Central
S000308	Retail Est	Bau-Bau	Central
S000309	Retail Corporis	Bandung	North
S000310	Retail Ad	Solok	North
S000311	Retail Minima	Pasuruan	North
S000312	Retail Quo	Madiun	West
S000313	Retail Voluptatem	Pagaralam	South
S000314	Retail Accusantium	Semarang	South
S000315	Retail Illum	Banjar	West
S000316	Retail Maiores	Mataram	East
S000317	Retail Quasi	Kediri	West
